             10
07 07 00 04 00 07 07 57 07 07
07 07 07 01 01 01 07 57 37 07
07 07 27 01 07 01 01 07 07 07
07 07 07 02 07 07 01 07 07 07
07 17 07 02 07 01 01 07 17 07
07 07 07 02 01 01 07 07 07 07
07 07 07 01 07 07 50 07 07 07
07 07 37 01 07 07 01 07 07 27
27 07 07 01 37 02 03 07 07 07
07 07 07 01 02 02 02 07 07 07
07 07 07 01 01 07 01 07 17 07
07 07 47 01 07 07 07 07 07 07
57 17 07 02 02 02 01 07 07 27
07 07 07 01 07 07 07 07 07 07
07 07 07 02 02 01 07 37 07 07
07 07 37 01 07 07 07 07 07 07
07 07 07 01 02 02 01 07 47 07
07 27 07 00 05 00 07 07 07 07

